Exchange,Token,LotSize,Symbol,TradingSymbol,Instrument,TickSize,
NSE,26000,1,Nifty 50,NIFTY INDEX,INDEX,0,
NSE,26009,1,Nifty Bank,NIFTY BANK,INDEX,0,
NSE,26017,1,INDIAVIX,INDIA VIX,INDEX,0,
NSE,26037,1,Nifty Fin Services,FINNIFTY,INDEX,0,
NSE,17635,1,ZYDUSWELL,ZYDUSWELL-EQ,EQ,0.05,
NSE,7929,1,ZYDUSLIFE,ZYDUSLIFE-EQ,EQ,0.05,
NSE,3827,1,ZUARIIND,ZUARIIND-EQ,EQ,0.05,
NSE,29050,1,ZUARI,ZUARI-EQ,EQ,0.05,
NSE,11394,1,ZOTA,ZOTA-EQ,EQ,0.05,
NSE,5097,1,ZOMATO,ZOMATO-EQ,EQ,0.05,
NSE,3821,1,ZODIACLOTH,ZODIACLOTH-EQ,EQ,0.05,
NSE,7138,1,ZODIAC,ZODIAC-BE,BE,0.05,
NSE,16915,1,ZFCVINDIA,ZFCVINDIA-EQ,EQ,0.05,
NSE,7508,1,ZENTEC,ZENTEC-EQ,EQ,0.05,
NSE,1076,1,ZENSARTECH,ZENSARTECH-EQ,EQ,0.05,
NSE,14566,1,ZENITHSTL,ZENITHSTL-BE,BE,0.05,
NSE,4176,1,ZENITHEXPO,ZENITHEXPO-EQ,EQ,0.05,
NSE,14003,1,ZEEMEDIA,ZEEMEDIA-EQ,EQ,0.05,
NSE,20852,1,ZEELEARN,ZEELEARN-EQ,EQ,0.05,
NSE,3812,1,ZEEL,ZEEL-EQ,EQ,0.05,
NSE,5501,1,YUKEN,YUKEN-EQ,EQ,0.05,
NSE,11915,1,YESBANK,YESBANK-EQ,EQ,0.05,
NSE,25003,1,YAARI,YAARI-BE,BE,0.05,
NSE,11410,1,XPROINDIA,XPROINDIA-BE,BE,0.05,
NSE,8477,1,XELPMOC,XELPMOC-EQ,EQ,0.05,
NSE,11705,1,XCHANGING,XCHANGING-EQ,EQ,0.05,
NSE,3799,1,WSTCSTPAPR,WSTCSTPAPR-EQ,EQ,0.05,
NSE,22277,1,WORTH,WORTH-EQ,EQ,0.05,
NSE,3002,1,WONDERLA,WONDERLA-EQ,EQ,0.05,
NSE,7506,1,WOCKPHARMA,WOCKPHARMA-EQ,EQ,0.05,
NSE,3787,1,WIPRO,WIPRO-EQ,EQ,0.05,
NSE,20491,1,WIPL,WIPL-BE,BE,0.05,
NSE,12058,1,WINPRO,WINPRO-BE,BE,0.05,
NSE,24969,1,WINDMACHIN,WINDMACHIN-EQ,EQ,0.05,
NSE,5366,1,WINDLAS,WINDLAS-EQ,EQ,0.05,
NSE,3772,1,WILLAMAGOR,WILLAMAGOR-EQ,EQ,0.05,
NSE,18011,1,WHIRLPOOL,WHIRLPOOL-EQ,EQ,0.05,
NSE,3766,1,WHEELS,WHEELS-EQ,EQ,0.05,
NSE,7835,1,WFL,WFL-EQ,EQ,0.05,
NSE,9862,1,WEWIN,WEWIN-EQ,EQ,0.05,
NSE,11580,1,WESTLIFE,WESTLIFE-EQ,EQ,0.05,
NSE,4235,1,WENDT,WENDT-EQ,EQ,0.05,
NSE,11253,1,WELSPUNIND,WELSPUNIND-EQ,EQ,0.05,
NSE,19800,1,WELINV,WELINV-EQ,EQ,0.05,
NSE,11626,1,WELENT,WELENT-EQ,EQ,0.05,
NSE,11821,1,WELCORP,WELCORP-EQ,EQ,0.05,
NSE,3748,1,WEIZMANIND,WEIZMANIND-EQ,EQ,0.05,
NSE,14602,1,WEBELSOLAR,WEBELSOLAR-EQ,EQ,0.05,
NSE,1923,1,WEALTH,WEALTH-EQ,EQ,0.05,
NSE,3745,1,WATERBASE,WATERBASE-EQ,EQ,0.05,
NSE,14067,1,WANBURY,WANBURY-BE,BE,0.05,
NSE,5013,2000,WALPAR,WALPAR-SM,SM,0.05,
NSE,3736,1,WALCHANNAG,WALCHANNAG-EQ,EQ,0.05,
NSE,20188,1,WABAG,WABAG-EQ,EQ,0.05,
NSE,2073,1,VTL,VTL-EQ,EQ,0.05,
NSE,24292,1,VSTTILLERS,VSTTILLERS-EQ,EQ,0.05,
NSE,3724,1,VSTIND,VSTIND-EQ,EQ,0.05,
NSE,27067,1,VSSL,VSSL-EQ,EQ,0.05,
NSE,20973,3000,VSCL,VSCL-SM,SM,0.05,
NSE,8696,1,VRLLOG,VRLLOG-EQ,EQ,0.05,
NSE,3718,1,VOLTAS,VOLTAS-EQ,EQ,0.05,
NSE,13577,1,VOLTAMP,VOLTAMP-EQ,EQ,0.05,
NSE,29284,1,VMART,VMART-EQ,EQ,0.05,
NSE,3188,3000,VMARCIND,VMARCIND-SM,SM,0.05,
NSE,3715,1,VLSFINANCE,VLSFINANCE-EQ,EQ,0.05,
NSE,7610,1600,VIVO,VIVO-SM,SM,0.05,
NSE,11965,1,VIVIMEDLAB,VIVIMEDLAB-EQ,EQ,0.05,
NSE,29877,1,VIVIDHA,VIVIDHA-EQ,EQ,0.05,
NSE,13702,1,VISHWARAJ,VISHWARAJ-EQ,EQ,0.05,
NSE,6908,1,VISHNU,VISHNU-EQ,EQ,0.05,
NSE,11773,1,VISHAL,VISHAL-EQ,EQ,0.05,
NSE,7303,1,VISESHINFO,VISESHINFO-EQ,EQ,0.05,
NSE,13295,1,VISASTEEL,VISASTEEL-EQ,EQ,0.05,
NSE,4221,1,VISAKAIND,VISAKAIND-EQ,EQ,0.05,
NSE,5920,200000,VIRESCENT,VIRESCENT-IV,IV,0.01,
NSE,5924,200000,VIRESCENT,VIRESCENT-BL,BL,0.01,
NSE,8424,1,VIPULLTD,VIPULLTD-EQ,EQ,0.05,
NSE,3703,1,VIPIND,VIPIND-EQ,EQ,0.05,
NSE,14843,1,VIPCLOTHNG,VIPCLOTHNG-EQ,EQ,0.05,
NSE,16821,1,VINYLINDIA,VINYLINDIA-EQ,EQ,0.05,
NSE,5643,3300,VINNY,VINNY-SM,SM,0.05,
NSE,3807,1,VINEETLAB,VINEETLAB-EQ,EQ,0.05,
NSE,3694,1,VINDHYATEL,VINDHYATEL-EQ,EQ,0.05,
NSE,17364,1,VINATIORGA,VINATIORGA-EQ,EQ,0.05,
NSE,13101,1,VIMTALABS,VIMTALABS-EQ,EQ,0.05,
NSE,9076,1,VIKASWSP,VIKASWSP-BZ,BZ,0.05,
NSE,12148,1,VIKASPROP,VIKASPROP-EQ,EQ,0.05,
NSE,9933,1,VIKASLIFE,VIKASLIFE-BE,BE,0.05,
NSE,25756,1,VIKASECO,VIKASECO-EQ,EQ,0.05,
NSE,17691,1,VIJIFIN,VIJIFIN-EQ,EQ,0.05,
NSE,5585,1,VIJAYA,VIJAYA-EQ,EQ,0.05,
NSE,13536,1,VIDHIING,VIDHIING-EQ,EQ,0.05,
NSE,11892,1,VHL,VHL-EQ,EQ,0.05,
